name	figi	ticker	class_code
Bentley Systems	BBG000BMSRR9	BSY	SPBXM
The Lovesac Company	TCSF738L1098	US54738L1098	A29
Illinois Tool Works	US4523081093	US4523081093	SPBXM_OTC
Skillz Inc.	TCSF067L2088	US83067L2088	A30
FleetCor Technologies Inc	TCSF90411052	US3390411052	A29
BankUnited, Inc.	TCSF652K1034	US06652K1034	A30
Principal Financial Group	BBG000NSCNT7	PFG	SPBXM
Aurora Innovation	BBG00Z92Y6X1	AUR	AUR
Zoetis	US98978V1035	US98978V1035	SPBXM_OTC
PC Connection Inc	BBG000BX74M4	CNXN	SPBXM
Bausch Health Cos Inc	TCSF17341071	CA0717341071	A30
АДР Yatsen Holding	TCS851942089	US9851942089	YSG
Salesforce	TCS9466L3024	CRM-RM	FQBR
Интер РАО ЕЭС	BBG004S68473	IRAO	TQBR
Quest Diagnostics	TCSF834L1008	US74834L1008	A30
Reynolds Consumer Products Inc.	TCSF171L1061	US76171L1061	A29
Lindsay Corporation	BBG000FJS1S8	LNN	SPBXM
thyssenkrupp AG	TCSF07500001	DE0007500001	A30
Catalent Inc	US1488061029	US1488061029	SPBXM_OTC
Huaneng Power International	US4433041005	US4433041005	SPBXM_OTC
Yum China Holdings	TCSF850P1093	US98850P1093	A29
NCR Atleos Corporation	BBG019Y0WP19	NATL	SPBXM
ManpowerGroup Inc	BBG000BNMHS4	MAN	SPBXM
Humacyte	BBG00XPPT7S7	HUMA	HUMA
Toll Brothers Inc	TCSF94781033	US8894781033	A29
Ruth’s Hospitality Group	BBG000DL14H0	RUTH	RUTH
Vodafone Group PLC	TCSF857W3088	US92857W3088	A29
Empire State REIT	BBG002N8HMW0	ESRT	ESRT
MicroVision	TCS949603048	US5949603048	A11
Piper Sandler Companies	TCSF40781002	US7240781002	A30
Seres Therapeutics Inc	BBG0099X6859	US81750R1023	nasdaq
Beacon Roofing Supply Inc	TCSF36851090	US0736851090	A30
Arcturus Therapeutics Holdings	TCS3969T1097	US03969T1097	NDS
Nine Energy Service, Inc.	TCSF441V1017	US65441V1017	A29
United Parks & Resorts	TCSF282V1008	US81282V1008	A30
thyssenkrupp AG	BBG000BHPVF7	TKA	SPBXM
Hang Lung	BBG000BDTCX4	101	SPBHKEX
Юнипро	TCS00A0JNGA5	UPRO	SMAL
Rhythm Pharmaceuticals Inc	BBG007DLZ601	RYTM	SPBXM
Arrival	LU2607735342	LU2607735342	SPBXM_OTC
Schrodinger Inc	US80810D1037	US80810D1037	SPBXM_OTC
Ardelyx	TCS396971071	US0396971071	US0396971071
Target	TCSF612E1064	US87612E1064	A30
Guess? Inc	US4016171054	US4016171054	SPBXM_OTC
Skechers U.S.A. Inc	US8305661055	US8305661055	SPBXM_OTC
Астраханская энергосбытовая компания	BBG000FJ8645	ASSB	TQBR
UnitedHealth	TCSF324P1021	US91324P1021	A29
НОВАТЭК	TCS00A0DKVS5	NVTK	SPEQ
PayPal Holdings	BBG0077VNXV6	PYPL	SPBXM
Unisys Corporation	BBG000BW0R88	UIS	UIS
SPO ТМК	ISSANCEFAKE1	ISSANCEFAKE1	ISSANCEFAKE1
Trimble Inc	TCSF62391004	US8962391004	A30
Colfax Corp	TCS000C5Z443	CFX	SPBXM
SVB Financial Group	TCSF486Q1013	US78486Q1013	A30
Simon Property Group REIT	TCSF88061091	US8288061091	A29
Nabors Industries Ltd	BBG000BZTW70	BMG6359F1370	NBR
Petropavlovsk PLC	TCS031544546	GB0031544546	GB0031544546_BLR
United States Cellular Corp	TCSF16841084	US9116841084	A30
Dowdupont	OLD00BN96922	DWDPold	SPBXM
Cannabics Pharmaceuticals Inc	TCSF764M2098	US13764M2098	A29
Doximity, Inc.	TCSF622P1075	US26622P1075	A30
Ideanomics	BBG000BM2S95	IDEX	IDEX
Acuity Brands	TCSF508Y1029	US00508Y1029	A30
Alexandria Real Estate Equities REIT	TCSF52711091	US0152711091	A30
Kratos Defense & Security Solutions	BBG000C1HQ43	KTOS	SPBXM
Kyndryl Holdings	TCS0155Q1004	US50155Q1004	T04
BB&T Corporation	OLD000BYYLS8	BBTold	SPBXM
Invesco Mortgage Capital Inc	TCSF131B7047	US46131B7047	A30
CK Asset Holdings	BBG007WDD4B5	1113	SPBHKEX
Poseida Therapeutics	TCSF730P1084	US73730P1084	A29
Poseida Therapeutics	BBG00BNTZ9H0	US73730P1084	PSTX
MPLX LP	BBG0035TJGV4	MPLX	nyse
Vale SA	BBG000BN5LG7	VALE	SPBXM
Cadence Design Systems	US1273871087	US1273871087	SPBXM_OTC
Bioventus	BBG00D8550B3	BVS	BVS
Татнефть	TCS209033591	RU0009033591	TILA21
Silvergate Capital Corp.	TCSF837P4081	US82837P4081	A30
GlaxoSmithKline PLC	BBG000CT5GJ1	GSK LN	GSK LN
Check Point Software Technologies Ltd	TCSF10824113	IL0010824113	A30
Johnson Matthey	BBG000BDNS10	JMAT	JMAT
Polestar Automotive Holding АДР	TCSF11052010	US7311052010	A30
Compagnie Financiere Richemont	BBG000GKR6V0	CFRUY	otcus
XPEL	TCSF379L1008	US98379L1008	A29
MicroStrategy Inc	TCSF49724083	US5949724083	A30
VK	TCS503172082	VKCO@GS	SPBEQRU
AGNC Investment REIT	BBG000TJ8XZ7	AGNC	SPBXM
Paysign	BBG000BR52Q9	PAYS	PAYS
American Water Works	US0304201033	US0304201033	SPBXM_OTC
Ulta Beauty	TCSF384S3031	US90384S3031	A30
China Eastern Airlines	US16937R1041	US16937R1041	SPBXM_OTC
Equity LifeStyle Properties REIT	US29472R1086	US29472R1086	SPBXM_OTC
MHP SE	TCSF302T2042	US55302T2042	A30
NVIDIA	US67066G1040	US67066G1040	SPBXM_OTC
Navient	TCSF938C1080	US63938C1080	A30
SPS Commerce Inc	BBG000PZGB75	SPSC	SPBXM
Левенгук	BBG003NZBX32	LVHK	TQBR
Aluminum Corp of China	BBG000CN0Y73	2600	SPBHKEX
Thermo Fisher Scientific	TCSF35561023	US8835561023	A30
TransUnion	BBG002Q7J5Z1	TRU	SPBXM
Pinnacle Financial Partners In	BBG000C1XKF6	PNFP	SPBXM
Las Vegas Sands Corp	TCSF78341070	US5178341070	A29
Diginex	TCSF53262598	SGXZ53262598	A29
Flat Glass Group	BBG00BGJYS07	6865	SPBHKEX
Zhongsheng	BBG000QCN464	881	SPBHKEX
Wal-Mart Stores	TCSF11421039	US9311421039	A30
Arch Coal Inc	BBG00DZB5D77	ARCH	SPBXM
Inspire Medical Systems Inc	TCSF77301090	US4577301090	A29
Strategic Education Inc	US86272C1036	US86272C1036	SPBXM_OTC
Maplebear	BBG00KG5VJF4	CART	SPBXM
Johnson & Johnson	TCSF81601046	US4781601046	A30
HP	TCSF434L1052	US40434L1052	A29
CohBar	TCSF249J3077	US19249J3077	A30
MGIC Investment Corp	TCSF28481030	US5528481030	A30
Bread Financial	TCSF85811082	US0185811082	A29
Southern	BBG000BT9DW0	SO	SPBXM
Wynn Resorts	TCSF31341071	US9831341071	A30
AudioCodes Ltd.	TCSF10829658	IL0010829658	A30
FormFactor Inc	BBG000D1Y3P1	FORM	SPBXM
STORE Capital Corp REIT	BBG00265T6Q4	STOR	SPBXM
AMD	US0079031078	US0079031078	SPBXM_OTC
TFI International	BBG000HJS1F0	TFII	SPBXM
DocuSign Inc	BBG000N7KJX8	DOCU	SPBXM
Артген	TCS30A0JNAB6	RU000A0JNAB6	TILA21
Hyundai Motor Company АДР	TCSF84721251	USY384721251	A30
IPO Delimobil	ISSUANCEDELI	ISSUANCEDELI	ISSUANCEDELI
Clarus Corp	TCSF270P1093	US18270P1093	A30
CommScope Holding Company, Inc.	BBG004LTL7L2	COMM	COMM
Steel Dynamics Inc	US8581191009	US8581191009	SPBXM_OTC
Vishay Intertechnology, Inc.	TCSF82981086	US9282981086	A30
The Honest Company	TCSF83331067	US4383331067	A29
Oneconnect Financial Technology	BBG00QV3KKD0	OCFT	OCFT
АДР AP Moller-Maersk AS	TCSF202F1021	US00202F1021	A30
InPost	BBG00Z0FZ8R3	INPST	INPST
NV5 Global Inc	TCSF945V1098	US62945V1098	A30
Ericsson	BBG000BB0QF8	US2948216088	nasdaq
ЭЛ5-Энерго	TCS20A0F5UN3	RU000A0F5UN3	TILA21
Playa Hotels & Resorts N.V.	BBG00DXB1GY6	NL0012170237	PLYA
8x8 Inc	US2829141009	US2829141009	SPBXM_OTC
Porch Group	TCSF32451043	US7332451043	A29
Rio Tinto	TCSF72041008	US7672041008	A30
IPO Элемент	ISSUANCEELMT	ISSUANCEELMT	ISSUANCEELMT
ZoomInfo Technologies Inc	BBG00S1HJ3M8	ZI	SPBXM
Bloomin Brands, Inc.	BBG002VZ68Y2	BLMN	SPBXM
TripAdvisor	TCSF69452015	US8969452015	A29
Soligenix Inc	TCS342236044	US8342236044	A30
Brookfield Infrastructure Corp A	TCSF275Q1072	CA11275Q1072	A29
HSBC Holdings PLC	TCSF42804066	US4042804066	A29
Jamf Holding Corp	US47074L1052	US47074L1052	SPBXM_OTC
РУСАЛ БО-001Р-08	ISSUANCERUSU	ISSUANCERUSU	PSAU
Codex DNA	BBG011363VM3	DNAY	DNAY
Pluri	TCSF942G1040	US72942G1040	A30
Элемент	TCS20A102093	ELMT	TQBR
Россети Северо-Запад	TCS10A0JPPB9	RU000A0JPPB9	TILA21
Cypress Semiconductor Corp	BBG000BXNJ07	CY	SPBXM
АДР Secoo Holding	TCSF367P2002	US81367P2002	A30
Deutsche Wohnen SE	BBG000GM6Y84	DWNI@DE	SPBDE
AMC Entertainment Holdings Inc	BBG000TDCVT6	US00165C3025	US00165C3025
Cohu Inc.	TCSF25761066	US1925761066	A29
Piper Sandler Companies	BBG000FQXC75	PIPR	SPBXM
EchoStar Corporation	TCSF87681061	US2787681061	A29
Morphic Holding	BBG00PBD6W06	MORF	MORF
ROBLOX Corp	US7710491033	US7710491033	SPBXM_OTC
Boston Beer Co Inc The	TCSF05571070	US1005571070	A30
АДР ANZ	BBG01C4GLN71	US03736N1046	ANZGY
DouYu	TCS5985W2044	US25985W2044	DOYU
Virtus Investment Partners	US92828Q1094	US92828Q1094	SPBXM_OTC
Danaher	TCS358511028	DHR-RM	FQBR
Bionano Genomics, Inc.	TCSF075F3055	US09075F3055	A29
Panasonic Corp	BBG000BNRTB1	US69832A2050	otcus
Century Therapeutics	BBG00PM8N5W0	IPSC	IPSC
McDonald’s	TCSF01351017	US5801351017	A30
WH Group	BBG00699M8Q7	288	SPBHKEX
CITIC Securities	TCSF000016V2	CNE1000016V2	A30
Broadcom	BBG00KHY5S69	AVGO	SPBXM
Nokia Oyj	BBG000BBWZ54	NOKIA	NOKIA
Simulations Plus Inc.	US8292141053	US8292141053	SPBXM_OTC
VK	TCS003172082	VKCO@GS	SPBXM
T-1	ISSUANCETTT2	ISSUANCETTT2	ISSUANCETTT2
Ontrak, Inc.	TCSF33733024	US6833733024	A29
Adverum Biotechnologies Inc	TCSF773U1088	US00773U1088	A30
АДР Shinhan Financial Group Co., Ltd.	BBG000BF95M8	SHG	SHG
Washington REIT	BBG000BWYX06	WRE	WRE
Baudax Bio	BBG00QS35Q39	US07160F4046	BXRX
Vishay Precision Group Inc	BBG000PRQ0V9	VPG	SPBXM
Гемабанк	TCS00A100GC7	RU000A100GC7	TILA21
АДР Shinhan Financial Group Co., Ltd.	TCSF45961003	US8245961003	A29
Invitae Corp	BBG005DJFD43	NVTA	SPBXM
Dolby Laboratories Inc	US25659T1079	US25659T1079	SPBXM_OTC
WR Berkley	TCSF44231029	US0844231029	A29
Unitil Corporation	TCSF32591077	US9132591077	A29
Merck	TCS8933Y1055	US58933Y1055	T04
Logitech International SA	CH0025751329	CH0025751329	SPBXM_OTC
Marinus Pharmaceuticals	BBG00253KMF6	MRNS	MRNS
Alphabet Class A	TCS3079K3059	US02079K3059	T04
PLBY Group	TCSF814P1093	US72814P1093	A29
Corcept Therapeutics Inc	BBG000BKJG33	CORT	SPBXM
Reynolds Consumer Products Inc.	BBG00QVJVYB5	REYN	SPBXM
Eli Lilly & Co	BBG000BNBDC2	LLY	SPBXM
Adobe	TCS7724F1012	ADBE	A11
Elanco Animal Health Inc	TCSF414H1032	US28414H1032	A29
Hecla Mining Co	TCSF27041062	US4227041062	A30
Marqeta, Inc.	TCSF142B1044	US57142B1044	A30
US Silica Holdings Inc	TCSF346E1038	US90346E1038	A29
Arcimoto, Inc.	TCSF95872098	US0395872098	A30
Philip Morris	US7181721090	US7181721090	SPBXM_OTC
Asensus Surgical, Inc.	TCSF367G1031	US04367G1031	A30
CohBar	TCS0080L6PG6	CWBR_old	CWBR_old
Alpha Teknova	BBG00201BVN6	TKNO	TKNO
Наука-Связь	BBG002BCQK67	NSVZ	TQBR
InflaRx	BBG00HZ6PLC3	IFRX	IFRX
ONEOK	TCSF26801036	US6826801036	A29
Газпром нефть АДР	BBG000KCSZ20	GAZ	GAZ
Hasbro	US4180561072	US4180561072	SPBXM_OTC
London Stock Exchange Group PLC	TCSF211N1019	US54211N1019	A29
IPO СПБ Биржа (rub)	ISSUANCESPB1	ISSUANCESPB1	ISSUANCESPB1
Freeport-McMoRan	US35671D8570	US35671D8570	SPBXM_OTC
Edwards Lifesciences	US28176E1082	US28176E1082	SPBXM_OTC
Bank of Cyprus	BBG00FSDXRK9	318	318
CorVel Corp	BBG000CVKZY0	CRVL	SPBXM
Western Digital	BBG000BWNFZ9	WDC	SPBXM
China Yuchai International Ltd	BBG000BLSXG0	CYD	nyse
General Motors	BBG000NDYB67	GM	SPBXM
Tricida	BBG007318S26	TCDA	TCDA
Star Group LP	BBG000C07VV5	SGU	SGU
Hims & Hers Health	TCSF30001060	US4330001060	A30
Ameren	BBG000B9X8C0	AEE	SPBXM
Orchard Therapeutics	BBG00M62QVH5	US68570P2002	ORTX
Monarch Casino & Resort Inc	BBG000BJ0932	MCRI	SPBXM
Aspira Womens Health	US04537Y2081	US04537Y2081	SPBXM_OTC
Forum Energy Technologies	TCSF984V2097	US34984V2097	A30
Atreca	BBG003FJ1986	US04965G1094	BCEL
AutoZone	TCSF33321024	US0533321024	A29
Haidilao	BBG00LWM0XR7	6862	SPBHKEX
Xperi	TCSF423J1016	US98423J1016	A30
Annaly Capital Management REIT	TCS000BJFJ98	NLYold	SPBXM
Bausch Health Cos Inc	TCSF17341071	CA0717341071	A29
Continental AG	TCSF05439004	DE0005439004	A30
Consensus Cloud Solutions	TCSF848V1052	US20848V1052	A29
IVA Technologies	TCS10A108GD8	IVAT	PSSU
MetLife	BBG000BB6KF5	MET	SPBXM
TechnipFMC	TCSFBDSFG982	GB00BDSFG982	A29
Cabot Corporation	US1270551013	US1270551013	SPBXM_OTC
Группа Черкизово	BBG000RTHVK7	GCHE	TQBR
SPS Commerce Inc	TCSF463M1071	US78463M1071	A30
Honda Motor Co Ltd	TCSF81283088	US4381283088	A29
Abbott	TCSF28241000	US0028241000	A29
Enphase Energy Inc	TCSF355A1079	US29355A1079	A30
NVR Inc	TCSF944T1051	US62944T1051	A29
GDEV Inc	TCS6529J2092	VGG6529J2092	SPBXM
NIO Inc	BBG015PB0HH9	9866	SPBHKEX
ANSYS	TCSF662Q1058	US03662Q1058	A29
JDE Peet’s N.V.	TCSF14332678	NL0014332678	A29
Emeren Group	TCSF971T3014	US75971T3014	A29
Guangshen Railway	BBG000GLG0G0	GSH	SPBOTC
STAAR Surgical Co	US8523123052	US8523123052	SPBXM_OTC
TEVA PHARMACEUTICALS	TCSF16242098	US8816242098	A30
RingCentral Inc	TCSF680R2067	US76680R2067	A29
Rapid7 Inc	TCSF34221046	US7534221046	A29
Steelcase Inc.	BBG000BLBGS2	SCS	SCS
Micro Focus	OLD00HFWVGN0	MFGPold	SPBXM
New York Community Bancorp	TCS494454001	NYCB	SPBXM
Insmed	BBG000BWM5P3	INSM	SPBXM
Wells Fargo & Company	US9497461015	US9497461015	SPBXM_OTC
SecureWorks Corp.	BBG000BVP714	SCWX	SCWX
АВТОВАЗ - акции привилегированные	BBG000RSJ0Y0	AVAZP	TQBR
Mylan NV	BBG000BPQD31	MYL	SPBXM
Marqeta, Inc.	TCSF142B1044	US57142B1044	A29
Essential Utilities, Inc.	TCSF670G1022	US29670G1022	A30
American Eagle Outfitters Inc	BBG000BGXZB5	AEO	SPBXM
Forward Air Corporation	US3498531017	US3498531017	SPBXM_OTC
Evofem Biosciences	TCSF048L3024	US30048L3024	A30
G1 Therapeutics Inc	TCS021LQ1099	GTHX-RM	FQBR
Castle Biosciences	BBG006YWVSR3	US14843C1053	CSTL
Vodafone Group PLC	US92857W3088	US92857W3088	SPBXM_OTC
Global Net Lease REIT	BBG004HXD0G8	GNL	SPBXM
Medifast Inc	TCSF470H1014	US58470H1014	A29
Fulcrum Therapeutics	BBG00DDY1RK9	FULC	SPBXM
Appfolio Inc	TCSF783C1009	US03783C1009	A30
Karyopharm Therapeutics Inc	BBG001J272L7	US48576U1060	KPTI
Lexicon Pharmaceuticals Inc	BBG000BQ85G2	US5288723027	LXRX
Telecom Argentina SA	BBG000BL1FQ7	US8792732096	TEO
Academy Sports & Outdoors	TCSF402L1070	US00402L1070	A29
Dayforce, Inc.	TCS5677J1088	DAY	SPBXM
Тамбовская энергосбытовая компания - привилегированные акции	BBG000MD2WC0	TASBP	TQBR
Xylem	BBG001D8R5D0	XYL	SPBXM
Intercontinental Exchange	BBG000C1FB75	ICE	SPBXM
Ares Capital Corp	US04010L1035	US04010L1035	SPBXM_OTC
Frontier Communications Parent	TCSF909D1090	US35909D1090	A29
Doximity, Inc.	TCSF622P1075	US26622P1075	A29
Veritone, Inc.	TCSF347M1009	US92347M1009	A30
FuelCell Energy	TCSF952H6018	US35952H6018	A30
GE Aerospace	US3696043013	US3696043013	SPBXM_OTC
Татнефть	TCS009033591	TATN	SPEQ
First Data Corp	BBG009NMJJJ4	FDC	nyse
NeoGenomics Inc	BBG000BKH263	NEO	SPBXM
Signet Jewelers	TCSF12761002	BMG812761002	A30
Deutsche EuroShop AG	TCSF07480204	DE0007480204	A30
Alphabet Class C	TCSF079K1079	US02079K1079	A29
IPO IVA Technologies	ISSUANCEIVAT	ISSUANCEIVAT	ISSUANCEIVAT
Agenus Inc.	TCSF847G7051	US00847G7051	A30
EPAM Systems	TCSF414B1044	US29414B1044	A29
Consolidated Communications Holdings Inc	BBG000B9YSS8	CNSL	CNSL
National Fuel Gas Company	TCSF61801011	US6361801011	A29
Las Vegas Sands Corp	TCSF78341070	US5178341070	A30
COCA-COLA	BBG000BMX289	KO	SPBXM
Incyte	TCS5337C1027	US45337C1027	A11
Sally Beauty Holdings Inc	US79546E1047	US79546E1047	SPBXM_OTC
Nexstar Media Group Inc	TCSF336K1034	US65336K1034	A30
Regions Financial	TCSF91EP1005	US7591EP1005	A29
PennantPark Floating Rate Capital Ltd.	TCSF806A1060	US70806A1060	A30
AGCO Corp	TCSF10841023	US0010841023	A30
Koss Corporation	TCSF06921085	US5006921085	A30
AnaptysBio Inc	BBG0026ZDHR0	ANAB	SPBXM
Inovio Pharmaceuticals	TCS5773H4092	US45773H4092	US45773H4092_NDS
Palantir Technologies Inc	BBG000N7QR55	PLTR	SPBXM
Columbus McKinnon Corp	US1993331057	US1993331057	SPBXM_OTC
Alamo Group Inc.	TCSF13111076	US0113111076	A30
Enzo Biochem, Inc.	BBG000BHY9Q4	ENZ	ENZ
Twist Bioscience	TCSF184D1000	US90184D1000	A30
Univar Solutions Inc	BBG000BDHD29	UNVR	SPBXM
Bath & Body Works	US0708301041	US0708301041	SPBXM_OTC
Minerva Neurosciences Inc	TCSF33802058	US6033802058	A29
Tri Pointe Homes, Inc.	TCSF265H1095	US87265H1095	A29
Shiseido Co Ltd	BBG000BVJ3W6	SSDOY	otcus
Gran Tierra Energy	BBG000C2M300	GTE	GTE
Applied Therapeutics	TCSF828A1016	US03828A1016	A29
Service Corp International/US	BBG000BTHH16	SCI	SPBXM
ServiceNow Inc	TCSF762P1021	US81762P1021	A30
Covestro AG	BBG009YCOVGY	BBG009YCOVGY	BBG009YCOVGY
АДР BioLine Rx Ltd	TCSF071M2052	US09071M2052	A29
VEON	US91822M1062	US91822M1062	SPBXM_OTC
Aurora Cannabis	BBG006SCSYG7	CA05156X8843	ACB
MGIC Investment Corp	US5528481030	US5528481030	SPBXM_OTC
FactSet Research Systems Inc	TCSF30751057	US3030751057	A29
Fidelity National Financial, Inc.	BBG006N7S6K9	FNF	SPBXM
Сургутнефтегаз - привилегированные акции	BBG004S681M2	SNGSP	TQBR
SkyWest Inc	BBG000BT36X0	US8308791024	SKYW
EverCommerce	TCSF977X1054	US29977X1054	A29
SPAC Khosla Ventures Acquisition Co II	BBG00Z8MSWR5	KVSB	KVSB
Vornado REIT	TCSF90421091	US9290421091	A30
Atrium European Real Estate Ltd	BBG000SXK4L2	ATRS	ATRS
Варьеганнефтегаз	BBG002B9PYV7	VJGZ	TQBR
YETI Holdings Inc	TCSF585X1046	US98585X1046	A30
Everbridge Inc	TCSF978A1043	US29978A1043	A29
Permian Resources	TCSF424F1057	US71424F1057	A29
3D Systems Corp	TCSF554D2053	US88554D2053	A29
LifeStance Health Group	US53228F1012	US53228F1012	SPBXM_OTC
ManTech International Corp VA	BBG000BGF8B5	MANT	SPBXM
ChargePoint Holdings	US15961R1059	US15961R1059	SPBXM_OTC
PetroChina	US71646E1001	US71646E1001	SPBXM_OTC
VAALCO Energy, Inc.	BBG000BTBH21	US91851C2017	EGY
STERIS	TCSFBFY8C754	IE00BFY8C754	A29
COCA-COLA	TCSF12161007	US1912161007	A29
GreenSky Inc	BBG00KT2SCV8	GSKY	SPBXM
GlycoMimetics	BBG001J1BQN9	GLYC	GLYC
2seventy bio	BBG00YV1J622	TSVT	SPBXM
Colgate-Palmolive	US1941621039	US1941621039	SPBXM_OTC
Science Applications Internati	TCSF86251076	US8086251076	A29
Evotec AG	DE0005664809	DE0005664809	SPBXM_OTC
Corbus Pharmaceuticals Holding	TCS0078PJKQ7	CRBPold	nasdaq
New Mountain Finance Corp.	TCSF75511001	US6475511001	A29
Nissan Motor Co Ltd	TCSF47444082	US6547444082	A30
Oceaneering International Inc	US6752321025	US6752321025	SPBXM_OTC
АДР Tokyo Electron Ltd.	BBG000JXJFR3	TOELY	TOELY
Flowers Foods, Inc.	TCSF34981011	US3434981011	A30
KKR & Co. Inc.	US48251W1045	US48251W1045	SPBXM_OTC
NextEra Energy	BBG000BJSBJ0	NEE	SPBXM
SPO МКБ	ISSUANCEMKBB	ISSUANCEMKBB	ISSUANCEMKBB
Enbridge	TCSF250N1050	CA29250N1050	A29
АДР Cresud SACIF y A	BBG000J4MRP9	CRESY	CRESY
Eaton Corporation	IE00B8KQN827	IE00B8KQN827	SPBXM_OTC
Acceleron Pharma Inc	BBG000R5HWZ1	XLRN	SPBXM
Rocket Lab	US7731221062	US7731221062	SPBXM_OTC
Valero Energy Corporation	TCSF913Y1001	US91913Y1001	A29
Align Technology	BBG000BRNLL2	ALGN	SPBXM
CK Hutchison Holdings	BBG0087DLDQ6	1	SPBHKEX
NCR Voyix	US62886E1082	US62886E1082	SPBXM_OTC
SPAC Duddell Street Acquisition	BBG00XRJ9FF7	DSAC	DSAC
Container Store Group	BBG005CHSS32	TCS US	TCS US
Baidu	TCSF67521085	US0567521085	A30
PureCycle Technologies	BBG00YRJF1V1	US74623V1035	PCT
Deciphera Pharmaceuticals Inc	US24344T1016	US24344T1016	SPBXM_OTC
McDonald’s	US5801351017	US5801351017	SPBXM_OTC
NiSource Inc	TCSF473P1057	US65473P1057	A30
Reliance Steel & Aluminum Co	TCSF95091023	US7595091023	A29
AMERISAFE, Inc.	US03071H1005	US03071H1005	SPBXM_OTC
АДР ORIX	TCSF63301015	US6863301015	A30
NovoCure Limited	BBG009XW8PY2	NVCR	SPBXM
DigitalBridge REIT	TCSF401T6038	US25401T6038	A30
Aegon	BBG000JN9DM6	BMG0112X1056	AGN
VMware	US9285634021	US9285634021	SPBXM_OTC
Paylocity Holding Corp	BBG006598YS8	PCTY	SPBXM
Яндекс	TCS10A107T19	YDEX	PSSU
Ameriprise Financial	US03076C1062	US03076C1062	SPBXM_OTC
Evercore	BBG000BP30Y0	EVR	SPBXM
Installed Building Products	US45780R1014	US45780R1014	SPBXM_OTC
Unum	US91529Y1064	US91529Y1064	SPBXM_OTC
SunPower Corp	US8676524064	US8676524064	SPBXM_OTC
Block	TCS522341036	US8522341036	US8522341036_NDS
Sibanye Stillwater Ltd	TCSF575P1075	US82575P1075	A30
Dufry AG	TCSF23405456	CH0023405456	A29
Darden Restaurants	TCSF71941053	US2371941053	A30
Weyerhaeuser REIT	TCSF21661043	US9621661043	A30
WestRock	US96145D1054	US96145D1054	SPBXM_OTC
KeyCorp	US4932671088	US4932671088	SPBXM_OTC
Norfolk Southern	TCSF58441084	US6558441084	A30
Savara	BBG000MS0823	SVRA	SVRA
Canadian Pacific Railway	CA13645T1003	CA13645T1003	SPBXM_OTC
АДР STMicroelectronics NV	BBG000BD4GX2	US8610121027	STM.US
Regency Centers REIT	TCSF88491032	US7588491032	A29
Rafael Holdings	BBG00J3YYS92	RFL	RFL
Redfin Corp	TCSF737F1084	US75737F1084	A29
Сбербанк	ISSUANCEMOEX	IMOEX Index	IMOEX Index
Донской завод радиодеталей	BBG001CPLYK8	DZRD	TQBR
Лукойл замещающие облигации	ISSUANCEZAML	ISSUANCEZAML	PSAU
Akebia Therapeutics	TCSF972D1054	US00972D1054	A30
Arcadium Lithium	TCS0BM9HZ112	JE00BM9HZ112	SPBXM_OTC
Owens Corning	BBG000M44VW8	OC	SPBXM
Equinor ASA	TCSF446M1027	US29446M1027	A30
World Wrestling Entertainment	BBG000F5YH15	WWE	SPBXM
BOEING	US0970231058	US0970231058	SPBXM_OTC
Canadian Solar Inc	TCS000K1J931	CA1366351098	CA1366351098
АДР Compania de Minas Buenaventura	TCSF44481040	US2044481040	A30
Solid Biosciences	TCS00JN4FXG8	SLDBold	SPBXM
Akero Therapeutics	TCSF973Y1082	US00973Y1082	A30
Blade Air Mobility, Inc.	TCS926671043	US0926671043	US0926671043
Shockwave Medical Inc	US82489T1043	US82489T1043	SPBXM_OTC
Altarea SCA	BBG000JQ1HG5	ALTA	ALTA
Benson Hill	TCS824902029	US0824902029	BHIL
WaVe Life Sciences Ltd	TCSF99014716	SG9999014716	A29
Veradigm Inc.	BBG000BLDXH5	MDRX	SPBXM
Berkshire Hathaway	TCS846707026	BRKB-RM	FQBR
MTR Corporation	BBG000MKLJD1	66	SPBHKEX
Centrica PLC	BBG000BPFPZ1	CNA	CNA
Xiaomi	KYG9830T1067	KYG9830T1067	SPBXM_OTC
Urban One	TCSF705J2042	US91705J2042	A29
Cirrus Logic Inc	US1727551004	US1727551004	SPBXM_OTC
Just Eat Takeaway.com N.V.	BBG00DRDFY39	TKWY	TKWY
Veeco Instruments	TCSF24171002	US9224171002	A30
Molson Coors Brewing	TCSF871R2094	US60871R2094	A29
Cincinnati Financial Corporation	TCSF20621010	US1720621010	A30
UCB SA	TCSF03739530	BE0003739530	A30
AMC Entertainment Holdings - привилегированные акции	BBG01994Z397	APE	APE
Cars.com Inc	TCSF575E1055	US14575E1055	A30
Korn Ferry	US5006432000	US5006432000	SPBXM_OTC
Metacrine, Inc.	BBG009R3Z5S4	MTCR	MTCR
Fresenius SE	DE0005785604	DE0005785604	SPBXM_OTC
ГДР X5 RetailGroup	US98387E2054	US98387E2054	SPBXM_OTC
Lennar	BBG000BN5HF7	LEN	SPBXM
АДР United Microelectronics	TCSF08734057	US9108734057	A30
Myriad Genetics Inc	BBG000D9H9F1	MYGN	SPBXM
Walgreens Boots Alliance	BBG000BWLMJ4	WBA	SPBXM
Iridium Communications Inc	TCSF269C1027	US46269C1027	A29
KAR Auction Services	BBG000VZHLL9	KAR	KAR
